ZIP,Neighborhood,Borough,Cases,"Cases per 100,000","Deaths per 100,000",Percent positive<br>(of people tested)
10001,Chelsea/NoMad/West Chelsea,Manhattan,469,1990.41,114.59,4.99
10002,Chinatown/Lower East Side,Manhattan,1416,1844.82,209.76,6.06
10003,East Village/Gramercy/Greenwich Village,Manhattan,633,1176.54,65.05,3
10004,Financial District,Manhattan,52,1424.42,27.39,4.27
10005,Financial District,Manhattan,118,1405.41,23.82,3.99
10006,Financial District,Manhattan,49,1417.1,0,4.25
10007,TriBeCa,Manhattan,82,993.97,36.36,2.76
10009,Alphabet City/East Village/Stuyvesant Town-Cooper Village,Manhattan,916,1559.2,119.15,4.36
10010,Flatiron/Gramercy/Kips Bay,Manhattan,385,1189.3,58.69,2.98
10011,Chelsea,Manhattan,688,1389.88,86.87,3.63
10012,Greenwich Village/SoHo,Manhattan,269,1121.71,37.53,2.98
10013,Hudson Square/Little Italy/SoHo/TriBeCa,Manhattan,356,1226.27,75.78,3.01
10014,Hudson Square/Meatpacking District/West Village,Manhattan,424,1365.84,93.42,3.39
10016,Kips Bay/Murray Hill/NoMad,Manhattan,928,1766.8,93.29,4.61
10017,East Midtown/Murray Hill,Manhattan,185,1147.13,49.61,3.3
10018,Hell's Kitchen/Midtown Manhattan,Manhattan,221,2318.64,62.95,6.71
10019,Hell's Kitchen/Midtown Manhattan,Manhattan,764,1880.32,103.37,4.44
10021,Lenox Hill/Upper East Side,Manhattan,711,1609.49,147.14,4.17
10022,East Midtown,Manhattan,432,1424.11,108.79,3.85
10023,Lincoln Square,Manhattan,723,1199.51,87.93,3.46
10024,Upper West Side,Manhattan,917,1599.3,130.8,4.06
10025,Manhattan Valley/Morningside Heights/Upper West Side,Manhattan,1677,1816.24,194.95,4.3
10026,Central Harlem (South),Manhattan,820,2101.59,125.58,6.64
10027,Central Harlem (South)/Morningside Heights/West Harlem,Manhattan,1266,1989.6,180.73,5.82
10028,Upper East Side/Yorkville,Manhattan,600,1220.63,69.17,3.75
10029,East Harlem,Manhattan,2145,2720.65,268.89,8.31
10030,Central Harlem (North),Manhattan,612,2087.18,197.8,7.32
10031,Hamilton Heights/West Harlem,Manhattan,1641,2709.85,221.28,8.78
10032,Washington Heights (South),Manhattan,1862,3028.01,284.59,9.41
10033,Washington Heights (North)/Washington Heights (South),Manhattan,1647,2781.6,206.04,9.07
10034,Inwood/Washington Heights (North),Manhattan,935,2170.7,167.16,7.64
10035,East Harlem,Manhattan,1175,3413.05,397.95,9.33
10036,Hell's Kitchen/Midtown Manhattan,Manhattan,564,2151.75,152.61,5.11
10037,Central Harlem (North)/East Harlem,Manhattan,614,2973.42,314.78,9.01
10038,Chinatown/Financial District,Manhattan,348,1578.38,127,4.66
10039,Central Harlem (North)/Washington Heights (South),Manhattan,647,2445.43,249.46,8.62
10040,Washington Heights (North),Manhattan,1384,3088.72,267.81,9.37
10044,Roosevelt Island,Manhattan,268,2290.54,307.68,7.26
10065,Lenox Hill/Upper East Side,Manhattan,405,1393.6,96.35,3.44
10069,Lincoln Square,Manhattan,77,1214.87,31.56,2.98
10075,Lenox Hill/Upper East Side,Manhattan,487,2060.58,198.86,4.97
10128,Upper East Side/Yorkville,Manhattan,778,1268.09,66.83,3.54
10280,Battery Park City,Manhattan,68,706.96,0,2.66
10282,Battery Park City,Manhattan,87,1577.39,253.83,5.43
10301,Silver Lake/St. George,Staten Island,1417,3577.06,272.63,11.15
10302,Elm Park,Staten Island,723,3851.07,170.45,13.55
10303,Graniteville/Mariner's Harbor/Port Ivory,Staten Island,981,3739.76,179.17,12.54
10304,New Dorp/Todt Hill,Staten Island,1630,3839.93,428.75,11.91
10305,Arrochar/Midland Beach/Shore Acres/South Beach Ocean Breeze,Staten Island,1483,3484.41,190.32,12.01
